source,li_sto,la_sto,zr_sto,li_dop_sto,la_dop_sto,zr_dop_sto,rel_dens_%,conductivity,log_cond,good_cond,li_dopant,la_dopant,zr_dopant,li_dop_ionicrad,la_dop_ionicrad,zr_dop_ionicrad,li_dop_enev,la_dop_enev,zr_dop_enev
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,91.2,2.10E-04,-3.677780705,0,al,,,53,0,0,1.61,0,0
10.1021/cm5008069,6.1,3,2,0.3,0,0,,7.00E-05,-4.15490196,0,ga,,,61,0,0,1.81,0,0
10.1021/acsami.6b13902,6.1,3,2,0.3,0,0,96.3,1.12E-03,-2.950781977,1,ga,,,61,0,0,1.81,0,0
10.1021/acsami.7b00614,6.1,3,2,0.3,0,0,96.3,1.12E-03,-2.950781977,1,ga,,,61,0,0,1.81,0,0
10.1016/j.jeurceramsoc.2018.06.014,6.16,3,2,0.28,0,0,,1.92E-05,-4.716698771,0,al,,,53,0,0,1.61,0,0
10.1016/j.ssi.2017.12.034,6.23,3,1.88,0.26,0,0,91.2,2.50E-04,-3.602059991,0,al,,,53,0,0,1.61,0,0
10.1016/j.jechem.2017.10.006,6.25,3,2,0.25,0,0,,9.90E-05,-4.004364805,0,al,,,53,0,0,1.61,0,0
10.1021/acsami.9b21251,6.25,3,2,0.25,0,0,95,4.41E-04,-3.355561411,1,al,,,53,0,0,1.61,0,0
10.1002/aenm.201600736,6.25,3,2,0.25,0,0,87,5.00E-04,-3.301029996,1,al,,,53,0,0,1.61,0,0
10.1021/acsami.5b12186,6.27,3,1.96,0.25,0,0,96,4.48E-04,-3.348721986,1,al,,,53,0,0,1.61,0,0
10.1016/j.matdes.2017.10.067,6.15,3,2,0.25,0,0,93,1.24E-04,-3.906578315,0,al,,,53,0,0,1.61,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,85.4,1.10E-04,-3.958607315,0,al,,,53,0,0,1.61,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,90.1,2.20E-04,-3.657577319,0,al,,,53,0,0,1.61,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,83.2,2.60E-04,-3.585026652,0,al,,,53,0,0,1.61,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,89.2,2.80E-04,-3.552841969,1,al,,,53,0,0,1.61,0,0
10.1021/acsami.6b13902,6.25,3,2,0.25,0,0,94.1,1.46E-03,-2.835647144,1,ga,,,61,0,0,1.81,0,0
10.1007/s10008-019-04225-5,6.25,3,2,0.25,0,0,,1.10E-03,-2.958607315,1,ga,,,61,0,0,1.81,0,0
10.1016/j.matchemphys.2012.03.054,6.25,3,2,0.25,0,0,91,3.50E-04,-3.455931956,1,ga,,,61,0,0,1.81,0,0
10.1016/j.jpowsour.2018.06.096,6.28,3,2,0.24,0,0,,3.54E-04,-3.450996738,1,al,,,53,0,0,1.61,0,0
10.1088/2053-1591/ab62ef,6.28,3,2,0.24,0,0,89.3,1.06E-04,-3.974694135,0,al,,,53,0,0,1.61,0,0
10.1073/pnas.1600422113,6.4,3,2,0.2,0,0,,2.50E-04,-3.602059991,0,al,,,53,0,0,1.61,0,0
10.1007/s10904-018-0859-y,6.4,3,2,0.2,0,0,,1.15E-04,-3.93930216,0,al,,,53,0,0,1.61,0,0
10.1016/j.matdes.2017.10.067,6.4,3,2,0.2,0,0,96,9.60E-05,-4.017728767,0,al,,,53,0,0,1.61,0,0
10.1007/s11581-020-03580-y,6.4,3,2,0.2,0,0,95.6,4.28E-04,-3.368556231,1,fe,,,63,0,0,1.83,0,0
10.1021/acs.jpcc.7b12387,6.4,3,2,0.2,0,0,,1.10E-03,-2.958607315,1,fe,,,63,0,0,1.83,0,0
10.1021/cm5008069,6.4,3,2,0.2,0,0,,9.00E-04,-3.045757491,1,ga,,,61,0,0,1.81,0,0
10.1088/2053-1591/ab2799,6.23,3,2,0.2,0,0,95.5,7.20E-04,-3.142667504,1,ga,,,61,0,0,1.81,0,0
10.1088/2053-1591/ab2799,6.91,3,2,0.2,0,0,95,4.30E-04,-3.366531544,1,ga,,,61,0,0,1.81,0,0
10.1088/2053-1591/ab2801,6.79,3,2,0.2,0,0,94.5,8.00E-04,-3.096910013,1,ga,,,61,0,0,1.81,0,0
10.1088/2053-1591/ab2801,6.55,3,2,0.2,0,0,94.2,1.09E-03,-2.962573502,1,ga,,,61,0,0,1.81,0,0
10.1088/2053-1591/ab2801,6.28,3,2,0.2,0,0,94,7.40E-04,-3.13076828,1,ga,,,61,0,0,1.81,0,0
10.1021/acsami.6b13902,6.3,3,2,0.2,0,0,93.4,8.70E-04,-3.060480747,1,ga,,,61,0,0,1.81,0,0
10.1007/s10008-019-04225-5,6.4,3,2,0.2,0,0,,1.50E-03,-2.823908741,1,ga,,,61,0,0,1.81,0,0
10.1016/j.ceramint.2019.04.236,6.4,3,2,0.2,0,0,97.3,1.24E-03,-2.906578315,1,ga,,,61,0,0,1.81,0,0
10.1016/j.ssi.2019.05.027,6.4,3,2,0.2,0,0,,4.58E-04,-3.339134522,1,ga,,,61,0,0,1.81,0,0
10.1016/j.ssi.2018.04.016,7.05,3,1.98,0.16,0,0,90,2.21E-04,-3.655607726,0,al,,,53,0,0,1.61,0,0
10.1021/cm5008069,6.55,3,2,0.15,0,0,,1.30E-03,-2.886056648,1,ga,,,61,0,0,1.81,0,0
10.1142/S1793604718500297,6.55,3,2,0.15,0,0,90.5,1.13E-03,-2.946921557,1,ga,,,61,0,0,1.81,0,0
10.1142/S1793604718500297,6.55,3,2,0.15,0,0,97.5,4.58E-04,-3.339134522,1,ga,,,61,0,0,1.81,0,0
10.1021/acsami.6b13902,6.55,3,2,0.15,0,0,89.6,8.50E-05,-4.070581074,0,ga,,,61,0,0,1.81,0,0
10.1063/1.5019179,6.55,3,2,0.15,0,0,,2.06E-03,-2.68613278,1,ga,,,61,0,0,1.81,0,0
10.1007/s10008-019-04225-5,6.55,3,2,0.15,0,0,,4.70E-04,-3.327902142,1,ga,,,61,0,0,1.81,0,0
10.1021/acs.chemmater.8b00486,6.55,3,2,0.15,0,0,90,1.20E-03,-2.920818754,1,ga,,,61,0,0,1.81,0,0
10.1016/j.ssi.2019.04.021,6.4,3,2,0.15,0,0,,8.05E-05,-4.09420412,0,ge,,,53,0,0,2.01,0,0
10.1016/j.ssi.2018.04.016,7.42,3,1.97,0.14,0,0,90,1.89E-04,-3.723538196,0,al,,,53,0,0,1.61,0,0
10.1016/j.jtice.2018.02.021,6.61,3,2,0.13,0,0,94,1.35E-04,-3.869666232,0,al,,,53,0,0,1.61,0,0
10.1016/j.ssi.2018.04.016,6.91,3,1.98,0.13,0,0,93,2.08E-04,-3.681936665,0,al,,,53,0,0,1.61,0,0
10.1016/j.matdes.2017.10.067,6.7,3,2,0.1,0,0,93,1.41E-04,-3.850780887,0,al,,,53,0,0,1.61,0,0
10.1021/acsami.6b13902,6.7,3,2,0.1,0,0,86.7,2.50E-05,-4.602059991,0,ga,,,61,0,0,1.81,0,0
10.1007/s10008-019-04225-5,6.7,3,2,0.1,0,0,,6.00E-05,-4.22184875,0,ga,,,61,0,0,1.81,0,0
10.1016/j.ssi.2019.04.021,6.6,3,2,0.1,0,0,98,2.80E-04,-3.552841969,1,ge,,,53,0,0,2.01,0,0
10.1016/j.matdes.2017.10.067,6.85,3,2,0.05,0,0,94,9.90E-05,-4.004364805,0,al,,,53,0,0,1.61,0,0
10.1016/j.ssi.2019.04.021,6.8,3,2,0.05,0,0,,2.91E-05,-4.536107011,0,ge,,,53,0,0,2.01,0,0
10.1039/c9ta00417c,7,3,2,0,0,0,96.7,2.40E-04,-3.619788758,0,,,,0,0,0,0,0,0
10.1002/anie.200701144 [thin pellet],7,3,2,0,0,0,,7.74E-04,-3.111259039,1,,,,0,0,0,0,0,0
10.1016/j.ceramint.2018.01.065,7,3,2,0,0,0,87.7,1.87E-04,-3.728158393,0,,,,0,0,0,0,0,0
10.1111/jace.14736,7,3,2,0,0,0,88.7,2.60E-05,-4.585026652,0,,,,0,0,0,0,0,0
10.1016/j.matlet.2018.08.006,7,3,2,0,0,0,84.6,1.00E-04,-4,0,,,,0,0,0,0,0,0
10.1016/j.jpowsour.2013.10.089,6.85,3.09,2.07,0,0,0,,1.68E-04,-3.774690718,0,,,,0,0,0,0,0,0
10.1016/j.ssi.2017.11.027,7,3,2,0,0,0,,7.83E-06,-5.106238238,0,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
